Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,TopPt1,1756521,1799355,139819,195942,296330,15008,22455,590446,539355,42834,14106,21058,7670
1989:Q3,RemainingTop1,2911578,2993500,485420,163311,580837,146661,88834,717785,810652,81923,61370,4868,15685
1989:Q3,Next9,7767076,8239499,2010174,417469,807822,1570385,448683,1020405,1964561,472424,365639,58952,47833
1989:Q3,Next40,7288771,8847647,3428532,754824,354717,1621780,399813,600605,1687377,1558876,1153165,355023,50688
1989:Q3,Bottom50,712318,1709035,829225,364633,23490,128496,54236,40382,268573,996717,616874,344306,35537
1989:Q4,TopPt1,1811550,1852362,153683,198249,309699,17641,21746,596469,554875,40812,13436,19554,7822
1989:Q4,RemainingTop1,2973282,3061235,506528,162911,592794,156920,92690,725810,823583,87953,65052,5934,16967
1989:Q4,Next9,7899449,8390438,2059583,415480,827089,1589805,468234,1031933,1998314,490989,378982,63393,48614
1989:Q4,Next40,7424933,9006848,3445898,772951,370202,1673111,417706,601812,1725167,1581915,1170193,361409,50313
1989:Q4,Bottom50,704946,1730821,828625,375991,25010,129589,55860,40803,274942,1025874,632919,358995,33960
1990:Q1,TopPt1,1796977,1835311,163106,186633,279171,20294,20502,600148,565457,38334,13057,17206,8071
1990:Q1,RemainingTop1,2956588,3049421,508453,165050,556461,166381,93617,732206,827253,92833,68036,6285,18512
1990:Q1,Next9,7883266,8396983,2040754,428954,780843,1601646,475851,1040737,2028199,513718,401262,61459,50997
1990:Q1,Next40,7506182,9102205,3445773,797281,365070,1719157,421662,602064,1751198,1596023,1197247,347598,51178
1990:Q1,Bottom50,725852,1775332,854899,389065,24478,130464,55709,41238,279479,1049480,655796,359772,33912
1990:Q2,TopPt1,1841632,1877971,174544,188740,295232,22890,19150,607912,569503,36338,12684,15523,8131
1990:Q2,RemainingTop1,3010677,3107750,526799,164325,570329,176248,95612,740285,834152,97073,70530,6990,19553
1990:Q2,Next9,7979569,8516295,2080484,425654,803038,1616347,495813,1052594,2042364,536725,421700,63142,51883
1990:Q2,Next40,7616763,9232153,3463561,814040,382114,1767693,432005,603106,1769633,1615390,1219047,345545,50798
1990:Q2,Bottom50,704947,1777032,839773,399628,26153,131430,56085,41652,282311,1072085,671956,367511,32618
1990:Q3,TopPt1,1785135,1819184,186958,172251,211833,25508,17862,617292,587480,34049,12155,13951,7943
1990:Q3,RemainingTop1,2948793,3050282,531026,166605,471846,185548,94630,748783,851844,101489,73831,7859,19799
1990:Q3,Next9,7886211,8439347,2069268,438575,672329,1625474,489833,1065306,2078562,553136,436992,65865,50279
1990:Q3,Next40,7683337,9315342,3492805,831147,348815,1812472,425868,604260,1799974,1632004,1236971,346445,48588
1990:Q3,Bottom50,734596,1829271,882669,407576,22878,132237,54875,42056,286980,1094675,687316,378182,29177
1990:Q4,TopPt1,1872104,1904016,196791,161751,261890,28093,17242,621459,616791,31912,11414,12285,8213
1990:Q4,RemainingTop1,3033504,3142097,532038,167750,523703,195143,98842,754078,870543,108593,78342,8753,21498
1990:Q4,Next9,8019930,8586791,2050576,445750,746725,1636522,511083,1072548,2123588,566861,445994,68248,52619
1990:Q4,Next40,7794002,9440128,3456651,847693,384229,1859038,445728,603648,1843141,1646127,1250874,345940,49313
1990:Q4,Bottom50,757007,1878317,910340,416098,26315,133106,56740,42493,293225,1121311,703187,389164,28960
1991:Q1,TopPt1,1957499,1986805,207035,161244,336482,30673,17024,615822,618524,29305,10718,10092,8495
1991:Q1,RemainingTop1,3135025,3249600,541266,167218,600864,204761,104522,753657,877313,114575,82569,9009,22997
1991:Q1,Next9,8170046,8745241,2060643,445199,855479,1647171,534166,1069917,2132666,575195,455464,65412,54319
1991:Q1,Next40,7928852,9571905,3430986,866528,430477,1905673,472242,600009,1865990,1643053,1263837,329486,49730
1991:Q1,Bottom50,766009,1899561,907473,427596,30964,133969,59589,43002,296968,1133553,717104,388209,28240
1991:Q2,TopPt1,1953624,1980854,218491,153073,332599,33234,16114,616052,611290,27230,10391,8422,8417
1991:Q2,RemainingTop1,3146716,3265352,551552,167557,590440,214665,106780,755846,878512,118636,85300,9603,23733
1991:Q2,Next9,8164988,8760906,2067952,447914,845299,1659741,546267,1071962,2121771,595918,475239,65937,54742
1991:Q2,Next40,8003495,9661860,3443898,880335,438288,1954068,482676,597638,1864957,1658365,1285741,323700,48924
1991:Q2,Bottom50,768752,1922929,920917,434819,31724,134894,60304,43480,296790,1154177,733979,393644,26554
1991:Q3,TopPt1,1982406,2008219,230550,135506,371294,35807,15592,612702,606768,25813,10113,6979,8721
1991:Q3,RemainingTop1,3196998,3319081,553736,169542,626072,224531,111199,755614,878388,122084,86284,10153,25647
1991:Q3,Next9,8224637,8842131,2049430,460339,897775,1671430,566266,1069880,2127011,617494,491584,67061,58849
1991:Q3,Next40,8144711,9809988,3474257,896233,466491,2002163,503646,593957,1873241,1665277,1294299,320131,50847
1991:Q3,Bottom50,820893,1979357,962418,441855,34614,135797,62372,43994,298306,1158464,732223,398176,28065
1991:Q4,TopPt1,2091663,2116305,243726,126715,477970,38389,15173,604155,610178,24642,9883,5612,9147
1991:Q4,RemainingTop1,3321586,3448659,562728,169727,734110,234511,116487,752091,879005,127074,88250,10994,27830
1991:Q4,Next9,8407023,9052252,2058361,462661,1048191,1683582,590565,1062128,2146764,645228,511853,69860,63515
1991:Q4,Next40,8292910,9981157,3481094,909620,525098,2050934,529160,588548,1896703,1688247,1313836,321182,53229
1991:Q4,Bottom50,840591,2022628,984677,448724,40830,136719,64972,44564,302142,1182037,744057,407933,30047
1992:Q1,TopPt1,2077261,2100367,256264,124488,464485,40848,14107,599902,600273,23106,9978,3862,9266
1992:Q1,RemainingTop1,3326291,3453729,577050,168645,711660,246290,117168,750401,882515,127437,87588,11084,28765
1992:Q1,Next9,8371571,9039758,2083141,458675,1022269,1711235,593692,1057685,2113060,668186,537254,67552,63380
1992:Q1,Next40,8345234,10034603,3488157,923464,529148,2111295,531660,583997,1866882,1689369,1329999,307106,52264
1992:Q1,Bottom50,858477,2033407,989935,456931,41188,138107,64799,45117,297330,1174930,743456,403749,27725
1992:Q2,TopPt1,2067086,2088977,267766,119616,466396,40535,13160,599131,582373,21891,9911,2367,9613
1992:Q2,RemainingTop1,3307514,3437519,589557,168057,704984,229186,119580,750134,876021,130006,87799,11616,30591
1992:Q2,Next9,8420358,9113224,2097811,458696,1017823,1782398,607847,1055840,2092809,692866,557784,68469,66613
1992:Q2,Next40,8434168,10133032,3500277,940266,540043,2160647,543360,580077,1868362,1698864,1342836,302403,53625
1992:Q2,Bottom50,874264,2053080,992643,466586,42291,141768,65620,45654,298519,1178816,742913,407476,28427
1992:Q3,TopPt1,2095506,2115661,280830,97101,499295,40263,12518,605002,580652,20155,9583,862,9710
1992:Q3,RemainingTop1,3330790,3465690,590420,170441,730915,211845,123697,752997,885375,134900,90720,12457,31723
1992:Q3,Next9,8531711,9244969,2077357,474548,1057532,1853177,627923,1059618,2094813,713258,575005,70660,67593
1992:Q3,Next40,8588541,10305461,3552910,956539,564764,2209766,563482,577609,1880392,1716920,1362534,301046,53340
1992:Q3,Bottom50,939173,2141164,1062472,473095,44917,145429,67523,46143,301585,1201990,758035,416908,27047
1992:Q4,TopPt1,2223453,2244399,279706,102290,587151,37318,13050,598126,626758,20946,10120,890,9936
1992:Q4,RemainingTop1,3467708,3604952,591800,171400,854212,205682,129551,767932,884375,137244,93683,12309,31252
1992:Q4,Next9,8719875,9432054,2089555,476848,1179272,1928550,648206,1041426,2068197,712179,576118,71236,64825
1992:Q4,Next40,8724002,10461975,3598562,959233,600780,2254106,583535,575425,1890334,1737973,1375410,308591,53972
1992:Q4,Bottom50,953495,2201727,1092580,483697,49827,146562,74206,47356,307499,1248232,785571,431742,30919
1993:Q1,TopPt1,2332154,2353529,274895,133057,612883,34612,14100,609512,674470,21375,10572,419,10384
1993:Q1,RemainingTop1,3552167,3690964,608016,167495,910743,196904,137374,792790,877642,138797,95957,11326,31514
1993:Q1,Next9,8842970,9544869,2152015,451886,1210867,1981735,671767,1039425,2037174,701899,571678,65609,64612
1993:Q1,Next40,8775658,10506683,3589253,958217,609498,2282330,612766,577723,1876896,1731024,1376488,298037,56499
1993:Q1,Bottom50,909705,2178796,1045925,495959,51707,147034,82117,48411,307643,1269091,800009,431871,37211
1993:Q2,TopPt1,2383554,2405435,270531,135295,624517,31940,14692,620364,708096,21881,11089,266,10526
1993:Q2,RemainingTop1,3604217,3745526,609193,169204,951623,188097,142290,817495,867623,141309,99473,10963,30873
1993:Q2,Next9,8895280,9594169,2155314,459382,1221596,2035127,684321,1035823,2002606,698889,573157,64263,61469
1993:Q2,Next40,8880586,10629860,3658784,964701,611999,2310765,627931,579545,1876135,1749274,1392433,299959,56882
1993:Q2,Bottom50,926870,2243099,1086265,507863,52886,147515,88162,49492,310916,1316229,832193,443210,40826
